So I'm a Spider So What?,24
The Duke of Death and His Maid,3
The Detective Is Already Dead,3
To Your Eternity,14
Spirit Chronicles,3
How a Realist Hero Rebuilt the Kingdom,4
Tokyo Revengers,16
That Time I Got Reincarnated as a Slime Season 2 Part 2,3
Tsukimichi -Moonlit Fantasy-,3
Mother of the Goddess' Dormitory,2
Peach Boy Riverside,4
Sonny Boy,2
Meikyuu Black Company,3
My Next Life as a Villainess: All Routes Lead to Doom! X,4
Welcome to Demon School! Iruma-kun 2nd Season,15
Remake our Life!,4
